change_type,worksheet,cell,historical_formula,active_formula
CHANGED,CR Econ,S14,"=IF(Q14=0,"""",100%-R14)","=IF(Q14=0,0,100%-R14)"
CHANGED,CR Econ,S15,"=IF(Q15=0,"""",100%-R15)","=IF(Q15=0,0,100%-R15)"
CHANGED,CR Econ,S16,"=IF(Q16=0,"""",100%-R16)","=IF(Q16=0,0,100%-R16)"
CHANGED,CR Econ,S17,"=IF(Q17=0,"""",100%-R17)","=IF(Q17=0,0,100%-R17)"
CHANGED,CR Econ,S18,"=IF(Q18=0,"""",100%-R18)","=IF(Q18=0,0,100%-R18)"
CHANGED,CR Econ,S19,"=IF(Q19=0,"""",100%-R19)","=IF(Q19=0,0,100%-R19)"
CHANGED,CR Econ,S20,"=IF(Q20=0,"""",100%-R20)","=IF(Q20=0,0,100%-R20)"
CHANGED,CR Econ,S21,"=IF(Q21=0,"""",100%-R21)","=IF(Q21=0,0,100%-R21)"
CHANGED,CR Econ,S22,"=IF(Q22=0,"""",100%-R22)","=IF(Q22=0,0,100%-R22)"
CHANGED,CR Econ,S23,"=IF(Q23=0,"""",100%-R23)","=IF(Q23=0,0,100%-R23)"
CHANGED,CR Econ,S24,"=IF(Q24=0,"""",100%-R24)","=IF(Q24=0,0,100%-R24)"
CHANGED,CR Econ,S25,"=IF(Q25=0,"""",100%-R25)","=IF(Q25=0,0,100%-R25)"
CHANGED,CR Econ,S26,"=IF(Q26=0,"""",100%-R26)","=IF(Q26=0,0,100%-R26)"
CHANGED,CR Econ,S27,"=IF(Q27=0,"""",100%-R27)","=IF(Q27=0,0,100%-R27)"
CHANGED,CR Econ,S28,"=IF(Q28=0,"""",100%-R28)","=IF(Q28=0,0,100%-R28)"
CHANGED,CR Econ,S29,"=IF(Q29=0,"""",100%-R29)","=IF(Q29=0,0,100%-R29)"
CHANGED,CR Econ,S30,"=IF(Q30=0,"""",100%-R30)","=IF(Q30=0,0,100%-R30)"
CHANGED,CR Econ,S31,"=IF(Q31=0,"""",100%-R31)","=IF(Q31=0,0,100%-R31)"
CHANGED,CR Econ,S32,"=IF(Q32=0,"""",100%-R32)","=IF(Q32=0,0,100%-R32)"
CHANGED,CR Econ,S33,"=IF(Q33=0,"""",100%-R33)","=IF(Q33=0,0,100%-R33)"
CHANGED,CR Econ,S34,"=IF(Q34=0,"""",100%-R34)","=IF(Q34=0,0,100%-R34)"
CHANGED,CR Econ,S35,"=IF(Q35=0,"""",100%-R35)","=IF(Q35=0,0,100%-R35)"
CHANGED,CR Econ,S36,"=IF(Q36=0,"""",100%-R36)","=IF(Q36=0,0,100%-R36)"
CHANGED,CR Econ,S37,"=IF(Q37=0,"""",100%-R37)","=IF(Q37=0,0,100%-R37)"
CHANGED,CR Econ,S38,"=IF(Q38=0,"""",100%-R38)","=IF(Q38=0,0,100%-R38)"
CHANGED,CR Econ,S39,"=IF(Q39=0,"""",100%-R39)","=IF(Q39=0,0,100%-R39)"
