worksheet,sheet_state,cell,row,col,cell_class,formula,cached_value,cached_value_type,number_format,precedents_extracted,precedent_count,module_area,data_type_openpyxl,ambiguity_flag,notes
CR Econ,visible,R42,42,18,formula,"=IF(Q42=0,"""",IF(Q42<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q42>'Fiscal Terms_PIA'!$W$60,Q42<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q42-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q42,IF(AND(Q42>'Fiscal Terms_PIA'!$W$61,Q42<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q42-'Fiscal Terms_PIA'!$W$61))/Q42,IF(AND(Q42>'Fiscal Terms_PIA'!$W$62,Q42<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q42-'Fiscal Terms_PIA'!$W$62))/Q42,IF(AND(Q42>'Fiscal Terms_PIA'!$W$63,Q42<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q42-'Fiscal Terms_PIA'!$W$63))/Q42,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q42 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S42,42,19,formula,"=IF(Q42=0,"""",100%-R42)",,,0.00%,Q42 | R42,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R43,43,18,formula,"=IF(Q43=0,"""",IF(Q43<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q43>'Fiscal Terms_PIA'!$W$60,Q43<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q43-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q43,IF(AND(Q43>'Fiscal Terms_PIA'!$W$61,Q43<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q43-'Fiscal Terms_PIA'!$W$61))/Q43,IF(AND(Q43>'Fiscal Terms_PIA'!$W$62,Q43<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q43-'Fiscal Terms_PIA'!$W$62))/Q43,IF(AND(Q43>'Fiscal Terms_PIA'!$W$63,Q43<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q43-'Fiscal Terms_PIA'!$W$63))/Q43,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q43 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S43,43,19,formula,"=IF(Q43=0,"""",100%-R43)",,,0.00%,Q43 | R43,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R44,44,18,formula,"=IF(Q44=0,"""",IF(Q44<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q44>'Fiscal Terms_PIA'!$W$60,Q44<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q44-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q44,IF(AND(Q44>'Fiscal Terms_PIA'!$W$61,Q44<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q44-'Fiscal Terms_PIA'!$W$61))/Q44,IF(AND(Q44>'Fiscal Terms_PIA'!$W$62,Q44<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q44-'Fiscal Terms_PIA'!$W$62))/Q44,IF(AND(Q44>'Fiscal Terms_PIA'!$W$63,Q44<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q44-'Fiscal Terms_PIA'!$W$63))/Q44,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q44 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S44,44,19,formula,"=IF(Q44=0,"""",100%-R44)",,,0.00%,Q44 | R44,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R45,45,18,formula,"=IF(Q45=0,"""",IF(Q45<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q45>'Fiscal Terms_PIA'!$W$60,Q45<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q45-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q45,IF(AND(Q45>'Fiscal Terms_PIA'!$W$61,Q45<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q45-'Fiscal Terms_PIA'!$W$61))/Q45,IF(AND(Q45>'Fiscal Terms_PIA'!$W$62,Q45<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q45-'Fiscal Terms_PIA'!$W$62))/Q45,IF(AND(Q45>'Fiscal Terms_PIA'!$W$63,Q45<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q45-'Fiscal Terms_PIA'!$W$63))/Q45,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q45 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S45,45,19,formula,"=IF(Q45=0,"""",100%-R45)",,,0.00%,Q45 | R45,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R46,46,18,formula,"=IF(Q46=0,"""",IF(Q46<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q46>'Fiscal Terms_PIA'!$W$60,Q46<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q46-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q46,IF(AND(Q46>'Fiscal Terms_PIA'!$W$61,Q46<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q46-'Fiscal Terms_PIA'!$W$61))/Q46,IF(AND(Q46>'Fiscal Terms_PIA'!$W$62,Q46<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q46-'Fiscal Terms_PIA'!$W$62))/Q46,IF(AND(Q46>'Fiscal Terms_PIA'!$W$63,Q46<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q46-'Fiscal Terms_PIA'!$W$63))/Q46,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q46 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S46,46,19,formula,"=IF(Q46=0,"""",100%-R46)",,,0.00%,Q46 | R46,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R47,47,18,formula,"=IF(Q47=0,"""",IF(Q47<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q47>'Fiscal Terms_PIA'!$W$60,Q47<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q47-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q47,IF(AND(Q47>'Fiscal Terms_PIA'!$W$61,Q47<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q47-'Fiscal Terms_PIA'!$W$61))/Q47,IF(AND(Q47>'Fiscal Terms_PIA'!$W$62,Q47<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q47-'Fiscal Terms_PIA'!$W$62))/Q47,IF(AND(Q47>'Fiscal Terms_PIA'!$W$63,Q47<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q47-'Fiscal Terms_PIA'!$W$63))/Q47,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q47 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S47,47,19,formula,"=IF(Q47=0,"""",100%-R47)",,,0.00%,Q47 | R47,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R48,48,18,formula,"=IF(Q48=0,"""",IF(Q48<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q48>'Fiscal Terms_PIA'!$W$60,Q48<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q48-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q48,IF(AND(Q48>'Fiscal Terms_PIA'!$W$61,Q48<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q48-'Fiscal Terms_PIA'!$W$61))/Q48,IF(AND(Q48>'Fiscal Terms_PIA'!$W$62,Q48<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q48-'Fiscal Terms_PIA'!$W$62))/Q48,IF(AND(Q48>'Fiscal Terms_PIA'!$W$63,Q48<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q48-'Fiscal Terms_PIA'!$W$63))/Q48,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q48 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S48,48,19,formula,"=IF(Q48=0,"""",100%-R48)",,,0.00%,Q48 | R48,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R49,49,18,formula,"=IF(Q49=0,"""",IF(Q49<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q49>'Fiscal Terms_PIA'!$W$60,Q49<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q49-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q49,IF(AND(Q49>'Fiscal Terms_PIA'!$W$61,Q49<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q49-'Fiscal Terms_PIA'!$W$61))/Q49,IF(AND(Q49>'Fiscal Terms_PIA'!$W$62,Q49<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q49-'Fiscal Terms_PIA'!$W$62))/Q49,IF(AND(Q49>'Fiscal Terms_PIA'!$W$63,Q49<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q49-'Fiscal Terms_PIA'!$W$63))/Q49,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q49 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S49,49,19,formula,"=IF(Q49=0,"""",100%-R49)",,,0.00%,Q49 | R49,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
