name,attr_text,hidden
HTML_LastUpdate,"""8/21/00""",True
HTML_LineAfter,FALSE,True
HTML_LineBefore,FALSE,True
HTML_Name,"""Frank Vickers""",True
HTML_OBDlg2,TRUE,True
HTML_OBDlg4,TRUE,True
HTML_OS,0,True
HTML_PathFile,"""C:\my documents\lever.htm""",True
HTML_Title,"""leverage""",True
IQ_ADDIN,"""AUTO""",True
IQ_CH,110000,True
IQ_CQ,5000,True
IQ_CY,10000,True
IQ_FH,100000,True
IQ_FQ,500,True
IQ_FWD_CY,10001,True
IQ_FWD_CY1,10002,True
IQ_FWD_CY2,10003,True
IQ_FWD_FY,1001,True
IQ_FWD_FY1,1002,True
IQ_FWD_FY2,1003,True
IQ_FWD_Q,501,True
IQ_FWD_Q1,502,True
IQ_FWD_Q2,503,True
IQ_FY,1000,True
IQ_LATESTK,1000,True
IQ_LATESTQ,500,True
IQ_LTM,2000,True
IQ_MONTH,15000,True
IQ_NAMES_REVISION_DATE_,40219.4072685185,True
IQ_NTM,6000,True
IQ_TODAY,0,True
IQ_WEEK,50000,True
IQ_YTD,3000,True
IsColHidden,FALSE,True
IsLTMColHidden,FALSE,True
Level,"OFFSET(Data,0,5,,1)",False
LT_Acct,#REF!,True
OFA,"{TRUE,FALSE,-1.25,-15.5,484.5,255.75,FALSE,TRUE,TRUE,TRUE,0,1,#N/A,46,#N/A,7.45588235294118,61.6470588235294,1,FALSE,FALSE,3,TRUE,1,FALSE,100,""Swvu.week3short."",""ACwvu.week3short."",#N/A,FALSE,FALSE,0.42,0.38,0.73,0.56,2,""&A"",""Page &P"",FALSE,FALSE,FALSE,FALSE,1,63,#N/A,#N/A,FALSE,""=R1:R7"",FALSE,FALSE,FALSE,FALSE,TRUE,9,600,600,FALSE,FALSE,TRUE,TRUE,TRUE}",True
ofai,"{TRUE,TRUE,-1.25,-15.5,484.5,255.75,FALSE,TRUE,TRUE,TRUE,0,1,#N/A,154,#N/A,7.45588235294118,17.1111111111111,1,FALSE,FALSE,3,TRUE,1,FALSE,100,""Swvu.normal."",""ACwvu.normal."",#N/A,FALSE,FALSE,0.5,0.38,0.57,0.54,2,""&A"",""Page &P"",FALSE,FALSE,FALSE,FALSE,1,63,#N/A,#N/A,FALSE,""=R1:R7"",#N/A,#N/A,FALSE,FALSE,TRUE,9,600,600,FALSE,FALSE,TRUE,TRUE,TRUE}",True
OML123_PROD,'Block_Oil Data'!$CU$52,False
OML123_RATE,'Block_Oil Data'!$CU$51,False
OPEX,"OFFSET(Block_TC!$GB$5,0,0,Prod_Summary!$AF$26,1)",False
Ownership,"OFFSET(#REF!,1,0)",True
Pal_Workbook_GUID,"""25ZWS4F4929RB36B5XV6PY55""",True
Production_Days,'Oil Input'!$G$2,False
Rates_Charts,"OFFSET('Production Profile'!$D$23,0,0,'Production Profile'!$P$27,1)",False
Rates_Gas,"OFFSET(Prod_Summary!$W$5,0,0,Prod_Summary!$AF$26,1)",False
Rates_Oil,"OFFSET(Prod_Summary!$T$5,0,0,Prod_Summary!$AF$26,1)",False
reserves_boe_conv,6,False
RiskAfterRecalcMacro,"""""",True
RiskAfterSimMacro,"""""",True
RiskBeforeRecalcMacro,"""""",True
RiskBeforeSimMacro,"""""",True
RiskCollectDistributionSamples,2,True
RiskFixedSeed,1,True
